,Vehicle_Model,Mileage,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance
110,Bus,63165,0,10,Electric,Automatic,800,New,New,Weak,1
111,Truck,45708,3,4,Electric,Manual,2500,Good,New,New,1
112,Motorcycle,77500,0,5,Petrol,Automatic,2000,New,New,New,0
113,Van,62600,4,5,Petrol,Manual,1500,New,Good,Weak,1
114,Motorcycle,44832,3,9,Electric,Automatic,1000,Good,Worn Out,New,1
115,Van,57006,4,8,Petrol,Manual,2000,New,Worn Out,Good,1
116,Van,56550,2,6,Diesel,Manual,800,New,Worn Out,Weak,1
117,SUV,70380,4,1,Electric,Automatic,1500,Good,New,Weak,1
118,Car,50109,2,10,Petrol,Manual,800,New,Good,Good,0
119,Car,61753,4,9,Diesel,Automatic,1500,Good,New,Weak,1
120,Van,61024,0,1,Electric,Automatic,2000,Worn Out,New,Good,0
121,SUV,42048,4,6,Petrol,Manual,800,Good,New,New,1
122,Truck,77013,4,1,Petrol,Manual,1500,Good,New,New,1
123,Motorcycle,34841,2,1,Electric,Manual,1000,Good,New,New,0
124,SUV,65788,3,9,Diesel,Manual,2000,Good,New,Weak,1
125,Bus,61817,4,2,Diesel,Automatic,1500,Worn Out,Worn Out,Good,1
126,Car,40859,0,9,Petrol,Manual,800,Good,Good,Good,0
127,Truck,32437,5,8,Petrol,Manual,800,Worn Out,New,New,1
128,Bus,43461,1,3,Petrol,Manual,1000,Worn Out,Good,Good,0
129,Car,54933,5,3,Electric,Automatic,800,New,Good,New,1
130,Van,68652,5,8,Petrol,Automatic,2500,Good,Worn Out,Good,1
131,Truck,38974,0,4,Diesel,Automatic,1500,New,New,Weak,1
132,Van,66083,2,6,Diesel,Automatic,1500,Worn Out,Worn Out,Weak,1
133,Truck,56494,4,2,Diesel,Automatic,1000,New,New,Weak,1
134,Van,63226,1,3,Petrol,Automatic,1000,New,Worn Out,Weak,1
135,Car,79405,1,10,Petrol,Manual,2500,Worn Out,New,Good,0
136,SUV,40971,0,9,Electric,Automatic,1000,Good,Good,New,0
137,Van,79067,4,3,Electric,Automatic,800,Worn Out,Worn Out,New,1
138,SUV,40331,0,1,Petrol,Manual,1000,New,Good,Good,0
139,SUV,39585,2,9,Diesel,Manual,1500,Good,Good,New,0
140,Car,40411,5,9,Petrol,Manual,1500,Good,New,Weak,1
141,SUV,73400,1,4,Electric,Manual,800,New,Worn Out,Weak,1
142,Van,35346,3,1,Diesel,Manual,800,Good,Good,New,1
143,Car,45695,5,9,Diesel,Automatic,1000,Worn Out,Worn Out,Weak,1
144,Bus,71090,0,5,Petrol,Automatic,800,Good,Good,Good,1
145,SUV,65221,5,1,Diesel,Automatic,1000,Good,Worn Out,Weak,1
146,Van,63277,0,5,Petrol,Manual,1000,Worn Out,New,Weak,1
147,Car,57753,5,2,Electric,Automatic,800,Worn Out,Good,Weak,1
148,Motorcycle,48894,5,5,Petrol,Manual,2000,New,Worn Out,New,1
149,Bus,76193,3,9,Petrol,Automatic,800,Worn Out,New,Weak,1
150,Truck,30845,2,1,Petrol,Automatic,2500,New,Good,Weak,1
151,Motorcycle,40760,2,8,Petrol,Automatic,2000,Good,Worn Out,Weak,1
152,SUV,55600,2,5,Diesel,Automatic,1500,Worn Out,Good,Good,0
153,SUV,46380,0,3,Electric,Automatic,2000,New,Good,Weak,1
154,Bus,51248,1,6,Petrol,Manual,2500,Good,Good,Good,0
155,SUV,45427,1,9,Petrol,Automatic,1000,Worn Out,New,Weak,1
156,Truck,68744,5,7,Petrol,Manual,2500,Worn Out,Good,New,1
157,Van,34001,3,6,Electric,Manual,2000,Worn Out,New,Weak,1
158,Car,43023,3,6,Diesel,Automatic,2000,New,Worn Out,Weak,1
159,Bus,46572,1,10,Petrol,Manual,2000,Worn Out,Worn Out,New,1
160,Motorcycle,63544,4,1,Petrol,Manual,800,New,Worn Out,Weak,1
161,Truck,49183,1,5,Electric,Manual,2500,New,Good,Weak,1
162,Motorcycle,68317,5,5,Diesel,Manual,2500,New,New,Weak,1
163,Van,36296,4,6,Electric,Automatic,2500,Worn Out,New,Weak,1
164,SUV,34929,0,6,Petrol,Manual,2000,Good,New,Weak,1
165,Truck,32865,0,8,Petrol,Automatic,2000,New,Worn Out,Weak,1
166,Truck,51881,1,10,Diesel,Manual,2500,Good,Worn Out,Weak,1
167,Bus,47586,1,9,Diesel,Automatic,2000,Good,Good,Weak,1
168,Van,39971,4,2,Electric,Manual,800,Worn Out,Good,Weak,1
169,SUV,54099,1,8,Electric,Automatic,800,New,New,New,0
170,Motorcycle,37869,3,8,Diesel,Manual,1000,Worn Out,Worn Out,Weak,1
171,Car,62328,1,10,Electric,Manual,1500,Good,Worn Out,Good,1
172,SUV,59174,3,10,Diesel,Manual,1000,New,New,New,1
173,Van,37109,2,2,Petrol,Automatic,1500,Worn Out,New,Weak,1
174,Truck,64605,0,7,Electric,Manual,2500,Good,Good,New,1
175,SUV,32618,0,8,Electric,Automatic,1000,Good,Good,New,0
176,Car,39780,4,10,Petrol,Manual,2500,Worn Out,Worn Out,Weak,1
177,Motorcycle,62234,2,2,Petrol,Manual,1000,Good,New,New,0
178,SUV,39303,3,1,Electric,Manual,1500,Worn Out,Good,New,0
179,Bus,67670,4,6,Electric,Manual,800,Worn Out,New,Good,1
180,Truck,32357,1,5,Electric,Automatic,2500,New,Worn Out,Weak,1
181,Car,38494,2,8,Electric,Automatic,2500,Good,New,Weak,1
182,Motorcycle,46752,1,4,Diesel,Manual,1500,Good,New,Weak,1
183,Bus,47174,2,8,Electric,Manual,2000,Good,New,New,0
184,Truck,51239,2,5,Petrol,Automatic,1000,Good,New,Good,1
185,Car,67696,3,4,Diesel,Automatic,800,New,Good,New,1
186,Bus,72991,2,4,Electric,Automatic,2000,Good,Good,New,0
187,Truck,61753,0,9,Petrol,Manual,1000,New,Good,Weak,1
188,Motorcycle,35037,1,1,Diesel,Manual,2000,Good,New,Good,1
189,Bus,78114,4,2,Diesel,Manual,1000,Good,Good,New,1
190,Bus,39297,5,5,Electric,Automatic,800,Good,Worn Out,New,1
191,SUV,60225,2,10,Electric,Manual,2000,Good,Worn Out,New,1
192,Bus,76740,5,1,Electric,Manual,1500,Good,New,Good,1
193,Bus,71952,3,10,Diesel,Manual,800,New,Worn Out,New,1
194,SUV,53585,0,3,Petrol,Manual,2500,Worn Out,Good,Good,0
195,Truck,65337,2,1,Petrol,Automatic,1000,Worn Out,Worn Out,Good,1
196,Truck,55552,0,8,Petrol,Manual,800,Good,Worn Out,New,1
197,Bus,46910,5,1,Diesel,Automatic,1000,New,Worn Out,Weak,1
198,SUV,60806,3,9,Petrol,Manual,1500,Good,New,Good,1
199,Car,50950,0,3,Petrol,Manual,2500,Worn Out,Good,Good,0
200,SUV,63912,5,5,Petrol,Manual,1500,New,Worn Out,New,1
201,Truck,56780,5,8,Diesel,Automatic,1500,Worn Out,Worn Out,New,1
202,Car,79610,4,2,Petrol,Manual,800,New,Good,Weak,1
203,SUV,67394,4,7,Petrol,Manual,1000,New,Good,Weak,1
204,Van,63165,0,4,Petrol,Manual,800,New,Worn Out,New,1
205,Car,30514,5,8,Diesel,Automatic,1000,Worn Out,Worn Out,New,1
206,SUV,50105,0,2,Diesel,Automatic,2500,New,Worn Out,New,1
207,Motorcycle,69055,1,9,Diesel,Automatic,800,Good,Good,Weak,1
208,Bus,57968,0,8,Petrol,Automatic,2000,New,Good,New,0
209,Bus,35221,2,3,Diesel,Manual,1500,Good,Good,Weak,1
210,Van,42068,1,6,Petrol,Manual,2000,Good,Worn Out,Weak,1
211,Bus,71339,3,4,Electric,Manual,800,Worn Out,Good,New,0
212,SUV,69012,2,1,Electric,Manual,1500,Good,Good,New,1
213,Motorcycle,76172,0,6,Diesel,Manual,800,New,Worn Out,New,1
214,SUV,73096,2,2,Diesel,Manual,1500,New,Good,Weak,1
215,Car,55941,5,4,Petrol,Automatic,1500,New,Good,Weak,1
216,Bus,52054,3,1,Petrol,Automatic,1500,New,New,Good,1
217,Truck,79270,4,10,Electric,Automatic,800,Good,Worn Out,New,1
218,Van,58580,4,10,Diesel,Manual,2000,Good,Worn Out,Weak,1
219,Bus,74319,4,3,Diesel,Automatic,2000,Good,New,Good,1
220,Car,53911,2,2,Electric,Manual,1000,Good,New,Good,0
221,Truck,68339,2,6,Petrol,Automatic,1000,New,Worn Out,Good,1
222,Bus,60906,5,10,Electric,Automatic,2000,Good,New,Weak,1
223,Bus,40241,0,8,Diesel,Automatic,1000,Worn Out,Worn Out,Weak,1
224,Car,43722,4,2,Petrol,Automatic,1500,Good,Good,Weak,1
225,Bus,32088,3,3,Diesel,Automatic,2000,Good,Worn Out,Weak,1
226,Motorcycle,39964,3,6,Diesel,Automatic,2000,Worn Out,New,Weak,1
227,Van,76388,0,2,Electric,Automatic,1500,New,Good,New,0
228,SUV,60746,2,9,Diesel,Manual,1500,Good,Worn Out,New,1
229,Van,51565,4,8,Electric,Manual,800,Worn Out,New,Good,1
230,Motorcycle,78780,0,6,Petrol,Manual,800,New,Good,New,0
231,Car,70818,0,4,Diesel,Manual,2000,New,Good,New,0
232,Van,48075,1,2,Diesel,Manual,2000,New,New,Good,0
233,Motorcycle,71445,0,6,Petrol,Automatic,1500,New,Good,Weak,1
234,Motorcycle,71711,0,9,Electric,Automatic,800,New,Good,New,0
235,Motorcycle,54689,4,9,Diesel,Manual,2000,Good,New,Good,1
236,Motorcycle,64993,2,1,Electric,Automatic,1500,Worn Out,Worn Out,New,1
237,Motorcycle,37779,0,1,Diesel,Manual,1500,Good,Worn Out,New,1
238,Truck,56385,1,5,Petrol,Automatic,800,Worn Out,New,Good,0
239,Motorcycle,41515,1,9,Electric,Manual,1000,Worn Out,Good,Weak,1
240,Truck,47717,5,8,Petrol,Manual,1000,Good,New,Weak,1
241,Motorcycle,70219,1,1,Electric,Manual,800,Worn Out,Worn Out,Weak,1
242,Bus,32343,4,6,Electric,Manual,1500,Good,Good,Weak,1
243,SUV,33996,2,8,Electric,Manual,800,Worn Out,Worn Out,Good,1
244,Bus,50983,4,1,Electric,Manual,1500,Good,Worn Out,Good,1
245,Motorcycle,65082,0,3,Electric,Manual,800,Worn Out,New,Good,0
246,Truck,64983,2,4,Electric,Automatic,2500,Worn Out,Worn Out,Weak,1
247,Motorcycle,58881,5,8,Petrol,Manual,2000,Good,Worn Out,New,1
248,Car,50262,5,8,Electric,Automatic,1500,Good,New,Good,1
249,SUV,42619,4,9,Diesel,Manual,2500,Good,Good,Good,1
250,Car,36429,1,10,Electric,Automatic,1500,Worn Out,New,Good,0
251,SUV,52827,0,2,Petrol,Manual,2500,Good,Good,New,0
252,SUV,56631,1,9,Petrol,Manual,800,New,Worn Out,New,1
253,Car,53347,1,2,Petrol,Automatic,800,New,Worn Out,New,1
254,Truck,37870,2,7,Diesel,Automatic,1500,New,Good,Good,1
255,Car,72112,5,5,Petrol,Automatic,1500,New,Good,Good,1
256,Car,58636,0,9,Diesel,Manual,1500,New,Worn Out,New,1
257,Truck,55499,1,3,Petrol,Manual,800,New,New,Weak,1
258,Bus,79290,2,3,Electric,Manual,800,New,New,New,0
259,Motorcycle,70385,1,3,Electric,Automatic,800,Worn Out,New,Weak,1
260,Bus,42153,3,5,Diesel,Manual,1000,New,Worn Out,Weak,1
261,Van,35212,1,7,Petrol,Manual,800,Good,New,New,0
262,Bus,56879,5,7,Petrol,Automatic,2000,Worn Out,Worn Out,Good,1
263,Bus,76919,0,7,Petrol,Automatic,1500,Worn Out,Worn Out,New,1
264,Bus,64157,2,7,Petrol,Automatic,1000,Good,Worn Out,Good,1
265,Truck,79937,2,4,Diesel,Automatic,1000,Good,Good,Good,1
266,Van,32054,0,7,Electric,Automatic,800,Good,Worn Out,Good,1
267,Car,72138,3,6,Electric,Automatic,2000,Good,Worn Out,New,1
268,Car,74569,3,1,Diesel,Automatic,2000,Worn Out,New,New,1
269,Bus,47657,2,8,Electric,Automatic,2000,Worn Out,New,New,1
270,Van,74865,5,4,Electric,Automatic,1000,Good,Worn Out,New,1
271,Truck,72360,0,6,Petrol,Automatic,2500,Good,Good,Good,0
272,Car,75145,5,10,Petrol,Automatic,2000,Good,New,Weak,1
273,SUV,53378,0,2,Petrol,Manual,1500,New,New,New,0
274,Bus,47872,1,6,Electric,Manual,1500,New,Worn Out,Good,1
275,Car,46154,5,4,Petrol,Manual,1000,Good,Worn Out,Good,1
276,Bus,63254,4,6,Petrol,Manual,1500,Good,Worn Out,New,1
277,Bus,52097,1,5,Electric,Automatic,1000,New,New,Weak,1
278,Truck,39658,1,3,Diesel,Automatic,800,Worn Out,New,New,1
279,SUV,48523,4,5,Petrol,Manual,1000,Good,New,Good,1
280,Truck,73116,0,10,Diesel,Manual,1500,New,Worn Out,New,1
281,Truck,37503,0,6,Diesel,Automatic,800,Good,Good,Weak,1
282,SUV,44092,1,9,Petrol,Manual,1500,Good,Worn Out,New,1
283,Truck,37857,3,7,Diesel,Manual,1500,Worn Out,Worn Out,Weak,1
284,Van,65094,4,4,Electric,Automatic,1000,Worn Out,Worn Out,Weak,1
285,SUV,73331,5,6,Diesel,Manual,1000,Good,Worn Out,New,1
286,Truck,50057,3,3,Electric,Manual,1500,New,New,Weak,1
287,Van,34146,3,4,Electric,Automatic,2000,Good,Worn Out,Weak,1
288,Van,77225,3,4,Diesel,Automatic,2000,New,Worn Out,New,1
289,Car,56025,2,10,Diesel,Automatic,2500,Worn Out,Good,Good,0
290,Bus,60351,1,6,Petrol,Automatic,800,Worn Out,New,Weak,1
291,Car,68806,2,4,Petrol,Manual,1500,Worn Out,Worn Out,New,1
292,Truck,62646,4,3,Petrol,Automatic,800,New,Worn Out,New,1
293,Bus,59402,4,3,Petrol,Automatic,1500,New,Worn Out,Good,1
294,Truck,45484,4,4,Electric,Manual,1500,New,New,Weak,1
295,Truck,62905,0,1,Diesel,Manual,1000,New,Worn Out,New,1
296,SUV,79096,3,4,Diesel,Manual,1500,New,New,New,0
297,Van,49180,2,10,Petrol,Automatic,2000,Good,Worn Out,Weak,1
298,Van,53622,2,4,Electric,Automatic,800,Worn Out,Worn Out,Weak,1
299,Motorcycle,78756,5,5,Petrol,Manual,2000,Good,New,Weak,1
300,SUV,55770,4,6,Petrol,Manual,1500,New,New,New,1
301,Truck,63108,5,5,Electric,Manual,800,New,Worn Out,New,1
302,Van,60281,0,4,Petrol,Automatic,2500,Worn Out,Worn Out,Weak,1
303,Truck,33381,2,4,Electric,Automatic,800,New,Worn Out,Good,1
304,Truck,63543,2,5,Petrol,Automatic,1500,Worn Out,New,New,0
305,SUV,79710,0,8,Electric,Manual,2500,New,Good,Good,0
306,Car,72678,3,1,Electric,Automatic,2000,Good,Good,New,0
307,Car,48162,0,4,Diesel,Manual,1000,Good,Worn Out,Weak,1
308,Bus,36419,4,8,Petrol,Automatic,800,Worn Out,Worn Out,New,1
309,Car,74306,5,1,Petrol,Automatic,800,Worn Out,New,Good,1
310,Car,34164,2,1,Diesel,Manual,1500,Worn Out,Worn Out,Good,1
311,Motorcycle,58783,1,5,Electric,Automatic,2000,Good,Good,Good,0
312,Bus,30559,4,5,Petrol,Automatic,800,Worn Out,Worn Out,New,1
313,Truck,71720,3,5,Petrol,Manual,800,Worn Out,New,Good,1
314,Van,37075,0,8,Electric,Manual,1500,Worn Out,Good,New,0
315,Bus,63524,1,3,Petrol,Automatic,1000,Worn Out,Good,New,0
316,Truck,33413,3,4,Diesel,Automatic,1500,New,Worn Out,Good,1
317,Car,36538,2,6,Diesel,Manual,2000,Worn Out,Good,Weak,1
318,SUV,70002,0,2,Diesel,Automatic,1500,Worn Out,Good,Weak,1
319,SUV,39374,1,9,Petrol,Manual,2000,New,Worn Out,New,1
320,Truck,52112,4,3,Petrol,Automatic,1000,Worn Out,Good,New,1
321,Car,46051,4,3,Diesel,Automatic,1500,Good,New,New,1
322,Truck,41741,4,8,Electric,Automatic,2500,New,New,Weak,1
323,Car,46449,4,1,Petrol,Automatic,800,New,New,Weak,1
324,Van,66421,3,8,Diesel,Manual,800,New,Good,Good,1
325,Van,32851,3,2,Electric,Automatic,2500,New,Worn Out,Good,1
326,Car,49870,0,6,Diesel,Manual,2500,Good,Good,Weak,1
327,Motorcycle,46457,5,10,Petrol,Automatic,1000,Worn Out,Good,Good,1
328,Truck,56915,1,10,Diesel,Automatic,2000,Worn Out,Worn Out,Good,1
329,SUV,69958,3,10,Petrol,Automatic,2500,New,New,Good,0
330,SUV,41070,3,1,Electric,Automatic,1000,New,Good,New,0
331,Truck,78113,3,10,Petrol,Manual,1000,Good,Worn Out,Good,1
332,SUV,51626,1,8,Diesel,Manual,1500,Good,Good,New,0
333,Car,37396,0,5,Diesel,Manual,2000,New,Worn Out,New,1
334,Bus,49947,5,3,Diesel,Automatic,2500,Good,New,Good,1
335,Motorcycle,71855,4,5,Petrol,Automatic,1500,New,Good,New,1
336,Van,50249,2,7,Diesel,Manual,2500,New,Worn Out,New,1
337,SUV,44209,4,1,Diesel,Automatic,800,Worn Out,Worn Out,Good,1
338,Truck,50770,5,4,Diesel,Manual,800,Good,Good,Weak,1
339,Bus,62186,0,10,Petrol,Manual,2000,New,Good,Good,0
340,Car,77728,4,4,Electric,Manual,2500,Worn Out,New,New,1
341,Motorcycle,77502,0,1,Petrol,Automatic,1000,New,Good,Good,0
342,Van,41270,2,5,Petrol,Manual,1500,New,Worn Out,New,1
343,Car,49345,2,9,Electric,Automatic,2000,Worn Out,Good,Good,0
344,Bus,75597,0,2,Electric,Manual,2000,New,New,Good,0
345,SUV,33228,3,7,Petrol,Manual,800,Worn Out,Good,Good,0
346,Bus,51965,5,9,Electric,Manual,2000,Worn Out,New,New,1
347,Truck,77641,4,3,Diesel,Manual,2500,New,Good,Good,1
348,Motorcycle,75389,0,10,Electric,Automatic,1500,New,Good,Weak,1
349,Bus,74316,5,8,Electric,Automatic,1000,Worn Out,Worn Out,Good,1
350,SUV,37700,0,8,Electric,Automatic,2000,New,Good,Weak,1
351,Truck,63745,5,5,Petrol,Automatic,1000,New,Worn Out,New,1
352,Motorcycle,71190,2,5,Diesel,Automatic,800,Worn Out,Worn Out,Good,1
353,Bus,46808,3,4,Petrol,Automatic,1000,Worn Out,Good,Weak,1
354,Truck,50708,4,7,Diesel,Manual,2500,Good,Good,Weak,1
355,Car,75454,2,4,Diesel,Manual,2500,Good,Good,New,1
356,Bus,45053,4,2,Petrol,Automatic,2000,New,Worn Out,Weak,1
357,Truck,53385,0,1,Electric,Manual,2000,New,New,Weak,1
358,Bus,62435,2,10,Diesel,Automatic,1000,Worn Out,Good,New,0
359,Car,43061,2,8,Petrol,Manual,2500,Good,New,Weak,1
360,Truck,61160,2,5,Electric,Automatic,2500,New,New,New,0
361,Truck,72715,1,7,Diesel,Manual,800,New,New,Weak,1
362,Van,70924,5,2,Diesel,Manual,800,New,Worn Out,Weak,1
363,SUV,35882,2,5,Diesel,Manual,800,Good,New,Weak,1
364,Van,30388,4,6,Electric,Manual,1500,New,Good,Weak,1
365,Motorcycle,64779,5,5,Diesel,Manual,800,New,Worn Out,Weak,1
366,Truck,31130,2,1,Electric,Manual,2500,Worn Out,Worn Out,New,1
367,Truck,56969,5,10,Electric,Automatic,800,Good,Good,Weak,1
368,Motorcycle,72882,2,5,Electric,Automatic,2000,Good,Worn Out,New,1
